 sim_time real_time ratio_sim_real
396 165.787 833.155 0.0834074
397 165.944 835.157 0.0784163
398 166.104 837.167 0.0795925
399 166.257 839.169 0.0764108
400 166.404 841.177 0.0731998
401 166.569 843.183 0.0822929
402 166.728 845.183 0.0794831
403 166.883 847.194 0.0770894
404 167.008 849.195 0.0624567
405 167.168 851.202 0.0797367
406 167.305 853.212 0.06816
407 167.468134 855.221 0.0811753
408 167.614 857.227 0.0727068
409 167.77 859.238 0.0775869
410 167.91 861.245 0.0697434
411 168.07 863.247 0.0799212
412 168.209 865.251 0.0693637
413 168.37 867.261 0.0801174
414 168.52 869.272 0.074586
415 168.658 871.277 0.0688286
416 168.808 873.279 0.0749423
417 168.937 875.286 0.0642697
418 169.076 877.287 0.0694542
419 169.194134 879.289 0.0590072
420 169.326 881.299 0.0656029
421 169.479 883.305 0.0762633
422 169.615 885.314 0.067718
423 169.774 887.319 0.0792819
424 169.924 889.32 0.0749727
425 170.056 891.322 0.0659381
426 170.194 893.324 0.068917
427 170.34 895.335 0.0726046
428 170.487 897.339 0.0733507
429 170.649 899.341 0.0809071
430 170.788 901.356 0.0690004
431 170.939 903.373 0.0748463
432 171.09 905.373 0.0754951
433 171.234 907.377 0.0718734
434 171.375 909.397 0.069791
435 171.528 911.401 0.0763723
436 171.658 913.406 0.0648245
437 171.813 915.409 0.0773856
438 171.962 917.411 0.0744349
439 172.086134 919.418 0.0618537
440 172.24 921.419 0.0768926
441 172.402134 923.419 0.0810629
442 172.541 925.424 0.0692562
443 172.66 927.434 0.0592
444 172.807 929.444 0.0731215
445 172.934 931.452 0.0632743
446 173.086 933.47 0.0753001
447 173.22 935.471 0.0669875
448 173.359 937.475 0.0693515
449 173.518 939.478 0.0793612
450 173.668 941.482 0.0748682
451 173.816 943.484 0.0739019
452 173.96 945.488 0.0718748
453 174.097 947.495 0.068245
454 174.254 949.496 0.0784716
455 174.4 951.538 0.0714867
456 174.544 953.54 0.0719354
457 174.694 955.545 0.074836
458 174.83 957.546 0.0679687
459 174.971 959.547 0.0704508
460 175.111 961.555 0.0697246
461 175.236 963.557 0.0624199
462 175.381 965.563 0.0722914
463 175.512 967.571 0.0652614
464 175.649 969.589 0.0678795
465 175.798 971.595 0.0742584
466 175.943 973.598 0.0724134
467 176.076 975.605 0.0662577
468 176.215 977.613 0.0692243
469 176.322 979.619 0.053334
470 176.458 981.627 0.0677205
471 176.602 983.645 0.071381
472 176.746 985.649 0.07184
473 176.857 987.668 0.054973
474 177.0 989.793 0.0672937
475 177.137134 991.803 0.0682576
476 177.281 993.804 0.071875
477 177.42 995.818 0.0690384
478 177.562 997.833 0.0704494
479 177.692134 999.833 0.0650571
480 177.828 1001.84 0.0678718
481 177.970134 1003.84 0.0708365
482 178.1 1005.84 0.0649118
483 178.242 1007.85 0.0707011
484 178.378 1009.85 0.0679122
485 178.505 1011.86 0.0632321
486 178.633 1013.87 0.063803
487 178.771 1015.88 0.0686885
488 178.896 1017.88 0.0624323
489 179.02 1019.88 0.0618853
490 179.143 1021.9 0.0610818
491 179.289134 1023.9 0.0729846
492 179.421 1025.9 0.065911
493 179.559 1027.92 0.068438
494 179.676 1029.92 0.0583443
495 179.821 1031.93 0.0723196
496 179.965 1033.93 0.0719259
497 180.042 1035.95 0.0380516
498 180.199134 1037.96 0.0784394
499 180.33 1039.97 0.0649428
500 180.425 1041.97 0.0474507
501 180.574 1043.98 0.0740489
502 180.733 1045.99 0.0791114
