 DockerStatsCPUPerc DockerStatsCPUPerc DockerStatsCPUPerc DockerStatsRamGByte DockerStatsRamGByte DockerStatsRamGByte
container flowcontrol omnetpp vadere flowcontrol omnetpp vadere
"Execution time in s"      
88 0.5301117932148627 91.64395176920232 12.592042173318411 0.048193536 0.101343232 5.352624128
90 0.4935378918785485 90.7067128358209 13.94316958775611 0.048324608 0.105234432 5.346848768
92 0.5056653932026793 92.1461112020841 9.210728098250838 0.048324608 0.10883072 5.35005184
94 0.5093641990591732 91.52749127899764 10.309945508684864 0.048324608 0.114900992 5.348589568
96 0.4926401786822186 93.52895307110064 8.010189949125202 0.048349184 0.1207296 5.348151296
98 0.0 94.53646692298152 6.776875921101601 0.048349184 0.123654144 5.347581952
100 0.0 94.85569647292596 10.39633066797884 0.0482304 0.163221504 5.34777856
102 0.6868084747862718 94.3200889439762 9.71275776951673 0.0482304 0.165916672 5.348241408
104 0.5539042239563978 92.71981501114688 10.411669772051535 0.0482304 0.168706048 5.347897344
106 0.0 93.47311604449938 13.068073424657534 0.0482304 0.17068032 5.34829056
108 0.0 95.31573987185806 6.983537486012683 0.048361472 0.174718976 5.348204544
110 0.508349125201638 93.03151714214836 7.915700508747984 0.048365568 0.175931392 5.348233216
112 0.0 93.23128360879832 16.023512248447204 0.048238592 0.177348608 5.34849536
114 0.5122488822652757 93.04458306253078 8.25038051931917 0.048238592 0.179101696 5.34849536
116 0.0 93.66698290110436 7.999881871199902 0.048238592 0.181743616 5.34849536
118 0.0 93.80795837462834 7.678104731236066 0.048369664 0.186789888 5.34849536
120 0.0 95.8144461710314 5.7535086621990565 0.048369664 0.190377984 5.348405248
122 0.0 95.52891403051731 9.826189175769612 0.048254976 0.19195904 5.348220928
124 0.0 95.6252449399232 5.821555406911928 0.048254976 0.230121472 5.348159488
126 0.0 92.27450123578843 38.10423144342659 0.048254976 0.231448576 5.351395328
128 0.0 95.33714805001856 5.799165230312036 0.048254976 0.231817216 5.351129088
130 0.0 93.95597279448003 7.709365325384998 0.048254976 0.233005056 5.34951936
132 0.0 95.76826461691049 5.321616367017979 0.048254976 0.234991616 5.349265408
134 0.0 93.47617181538462 12.883550695825049 0.048386048 0.237232128 5.348888576
136 0.0 95.71119385073146 9.546612989588498 0.048386048 0.238944256 5.349019648
138 0.0 94.93937930014783 6.897811790989203 0.048386048 0.2433024 5.35046144
140 0.0 96.04883817550818 9.413202824228913 0.048386048 0.24543232 5.350203392
142 0.5306376414976988 93.56407483648032 7.237253930348259 0.048267264 0.249348096 5.350203392
144 0.0 94.40778144126358 6.426700435377534 0.048267264 0.250241024 5.350203392
146 0.0 94.93766941001486 19.34440986736085 0.048267264 0.251281408 5.350334464
148 0.0 97.44898404785644 3.7729162629757775 0.048275456 0.29157376 5.350334464
150 0.0 95.0023049652433 5.994182007693262 0.048275456 0.291926016 5.350371328
152 0.0 95.80596643945964 5.357500012374706 0.048275456 0.291926016 5.354827776
155 0.0 95.90282756569162 9.077223156067932 0.048406528 0.293638144 5.354737664
157 0.0 95.42171357718536 5.94810126456732 0.048279552 0.295374848 5.356179456
159 0.5418566505516301 94.14886325443052 8.912170352007932 0.048279552 0.298438656 5.356212224
161 0.0 94.44916710770372 7.346915755627009 0.048279552 0.29997056 5.356220416
163 0.0 91.41680207817912 6.536548707163181 0.048279552 0.302002176 5.355999232
165 0.556939134746498 93.30341584624922 11.452235498264752 0.048410624 0.303910912 5.356130304
167 0.0 95.04367397497832 5.736797721926458 0.048410624 0.305106944 5.356019712
169 0.0 94.74876278377371 6.0687882907467126 0.048410624 0.308092928 5.356019712
171 0.5254964670881368 93.6492853353167 8.95949220666584 0.048410624 0.30920704 5.356412928
173 0.0 95.12100490843405 6.888214692060352 0.048410624 0.310771712 5.356294144
175 0.0 96.39792166687336 4.498276831535887 0.048410624 0.350326784 5.357379584
177 0.0 95.34483059839604 5.535869367466137 0.048283648 0.350851072 5.357379584
179 0.0 94.91781304887124 6.683081106562463 0.04841472 0.353861632 5.35760896
181 0.0 95.24450013707164 6.166818053666378 0.04841472 0.354148352 5.357367296
183 0.0 94.74476040483832 8.893911663765234 0.04841472 0.356610048 5.357481984
185 0.6301422332506204 93.67000287769784 7.167887430202259 0.04841472 0.358535168 5.357355008
187 0.0 97.65594646176726 3.756068996282528 0.04841472 0.362733568 5.357236224
189 0.0 94.79085681705504 6.5505498699045965 0.04841472 0.363831296 5.357236224
191 0.0 97.14673525982886 3.827290938390976 0.04841472 0.364863488 5.357367296
193 0.0 95.48364507111935 5.590527149041435 0.04841472 0.36417536 5.357244416
195 0.0 95.21684665760532 5.829584375772559 0.04841472 0.364519424 5.357244416
197 0.0 95.7867070656898 5.5019384729981375 0.04841472 0.364797952 5.357375488
199 0.5326856436255719 94.8703289395441 5.35473722284157 0.04841472 0.368562176 5.3572608
201 0.0 95.33269934169668 5.417334451294698 0.04841472 0.368779264 5.3572608
203 0.0 97.5357875354807 3.330285913216461 0.04841472 0.369147904 5.3572608
205 0.0 98.29140333456836 2.064835820895522 0.048295936 0.38854656 5.3572608
207 0.572280114271519 94.08291910278533 18.66523667080745 0.048427008 0.409964544 5.358833664
209 0.0 94.84081260076894 6.408840277777777 0.048427008 0.410628096 5.358710784
211 0.0 95.05686149268534 6.114891764998137 0.048427008 0.412512256 5.358710784
213 0.0 97.71015352583964 3.160400396628656 0.048427008 0.413118464 5.358710784
215 0.0 97.2016773359841 3.5894946923555 0.048427008 0.415526912 5.358723072
217 0.0 94.96566388510584 6.322257784393995 0.048427008 0.415899648 5.358854144
219 0.0 94.77298472222222 5.889330255646562 0.048427008 0.41949184 5.358985216
221 0.0 95.70195856257745 5.398081823813654 0.048427008 0.420122624 5.35873536
223 0.0 97.745889860835 3.149137161322396 0.048427008 0.42186752 5.358866432
225 0.0 97.70200158769536 3.441973663980161 0.048427008 0.421818368 5.359128576
227 0.0 97.17903135456686 3.827400570083034 0.048427008 0.422735872 5.359013888
229 0.0 95.39383800669393 5.970942258584356 0.048427008 0.4235264 5.359013888
231 0.0 94.7766274451469 8.93501407333994 0.048427008 0.42436608 5.35902208
233 0.5516460106712991 94.2386443149411 7.083589779211113 0.048427008 0.42655744 5.35902208
235 0.0 94.6098352009895 6.18422428518381 0.048304128 0.426819584 5.358780416
237 0.0 98.68268272536169 1.9645168439277765 0.048304128 0.444645376 5.358780416
239 0.0 97.87783229967752 2.833483771712159 0.048304128 0.467628032 5.358911488
241 0.0 97.1398397620228 3.5434080357142856 0.048304128 0.468332544 5.358784512
243 0.4666855941634723 94.25928727272726 14.67657175591532 0.0484352 0.468709376 5.358915584
245 0.0 92.68172972438514 6.726923008411678 0.048308224 0.469102592 5.358821376
247 0.0 94.73006995649472 6.794518865598027 0.048308224 0.470577152 5.358825472
249 0.0 97.13941498322774 3.5784754493967 0.048308224 0.471052288 5.358825472
