#CELLSIZE=5.000000,DATACOL=-1,DATATYPE=pedestrianCount,IDXCOL=3,MAP_TYPE=ymfPlusDistStep,NODE_ID=18,SEP=;,SIM_BBOX=0;0;164.1;215.1,VERSION=0.4,XOFFSET=-692273.889474,XSIZE=164.100000,YOFFSET=-5337503.566101,YSIZE=215.100000
simtime;x;y;count;measured_t;received_t;source;selection;selectionRank;sourceHost;sourceEntry;hostEntry;rsd_id;own_cell
14;13;9;2;13.874335712987;13.975134;1076;ymfPlusDistStep;0.0111111;11.7304;35.8632;47.4425;-1;0
14;13;10;0;13.694335712987;13.975134;1076;ymfPlusDistStep;0.0111111;11.7304;7.902;42.4632;-1;0
14;13;11;1;13.714335712987;13.975134;1076;ymfPlusDistStep;0.025;11.7304;12.7183;37.4894;-1;0
14;13;15;1;13.904335712987;13.975134;1076;ymfPlusDistStep;0.0111111;11.7304;6.22901;17.7421;-1;0
14;13;16;1;13.704335712987;13.975134;1076;ymfPlusDistStep;0.0111111;11.7304;37.5145;12.9272;-1;0
14;14;8;0;3.844335712987;13.975134;1076;ymfPlusDistStep;0.0111111;11.7304;3.95307;53.0495;-1;0
14;14;9;0;9.134335712987;13.975134;1076;ymfPlusDistStep;0.0111111;11.7304;31.9751;48.1309;-1;0
14;14;10;1;13.874335712987;13.975134;1076;ymfPlusDistStep;0.0111111;11.7304;31.5247;43.2309;-1;0
14;14;16;0;12.744335712987;13.975134;1076;ymfPlusDistStep;0.0111111;11.7304;3.27971;15.2611;-1;0
14;15;16;1;13.814335712987;13.975134;1076;ymfPlusDistStep;0.0142857;11.7304;38.0431;18.6733;-1;0
15;12;16;0;9.028004530503;14.729134;1221;ymfPlusDistStep;0.0111111;48.0966;5.27705;12.3014;-1;0
15;12;17;0;13.968004530503;14.729134;1221;ymfPlusDistStep;0.0111111;48.0966;32.2612;7.32503;-1;0
15;12;18;1;14.947;14.969134;18;ymfPlusDistStep;0.025;0;2.44688;2.44688;1;0
15;13;8;0;13.888004530503;14.729134;1221;ymfPlusDistStep;0.0111111;48.0966;40.8554;52.4258;-1;0
15;13;9;2;14.958;14.980134;18;ymfPlusDistStep;0.0111111;0;47.4425;47.4425;1;0
15;13;10;0;13.708004530503;14.729134;1221;ymfPlusDistStep;0.0111111;48.0966;7.902;42.4632;-1;0
15;13;11;1;14.788;14.824134;18;ymfPlusDistStep;0.0142857;0;37.4894;37.4894;1;0
15;13;15;1;14.817;14.839134;18;ymfPlusDistStep;0.0111111;0;17.7421;17.7421;1;0
15;13;16;1;14.865;14.886134;18;ymfPlusDistStep;0.0111111;0;12.9272;12.9272;1;0
15;14;8;0;3.858004530503;14.729134;1221;ymfPlusDistStep;0.0111111;48.0966;3.95307;53.0495;-1;0
15;14;9;0;9.148004530503;14.729134;1221;ymfPlusDistStep;0.0111111;48.0966;31.9751;48.1309;-1;0
