 time diss_time hostId
379 66.021134 0.021134 7986
380 68.021134 0.021134 7986
381 70.021134 0.021134 7986
382 72.021134 0.021134 7986
383 66.021134 0.021134 9473
384 68.021134 0.021134 9473
385 70.021134 0.021134 9473
386 72.021134 0.021134 9473
387 66.021134 0.021134 9546
388 68.021134 0.021134 9546
389 70.021134 0.021134 9546
390 72.021134 0.021134 9546
391 68.021134 0.021134 10003
392 70.021134 0.021134 10003
393 72.021134 0.021134 10003
394 68.021134 0.021134 10076
395 70.021134 0.021134 10076
396 72.021134 0.021134 10076
397 74.021134 0.021134 6453
398 76.021134 0.021134 6453
399 74.021134 0.021134 489
400 76.021134 0.021134 489
401 78.021134 0.021134 489
402 74.021134 0.021134 6526
403 76.021134 0.021134 6526
404 78.021134 0.021134 6526
405 74.021134 0.021134 1076
406 76.021134 0.021134 1076
407 78.021134 0.021134 1076
408 80.021134 0.021134 1076
409 74.021134 0.021134 562
410 76.021134 0.021134 562
411 78.021134 0.021134 562
412 80.021134 0.021134 562
413 74.021134 0.021134 1821
414 76.021134 0.021134 1821
415 78.021134 0.021134 1821
416 80.021134 0.021134 1821
417 74.021134 0.021134 1894
418 76.021134 0.021134 1894
419 78.021134 0.021134 1894
420 80.021134 0.021134 1894
421 74.021134 0.021134 2095
422 76.021134 0.021134 2095
423 78.021134 0.021134 2095
424 80.021134 0.021134 2095
425 74.021134 0.021134 2799
426 76.021134 0.021134 2799
427 78.021134 0.021134 2799
428 80.021134 0.021134 2799
429 74.021134 0.021134 2872
430 76.021134 0.021134 2872
431 78.021134 0.021134 2872
432 80.021134 0.021134 2872
433 74.021134 0.021134 3198
434 76.021134 0.021134 3198
435 78.021134 0.021134 3198
436 80.021134 0.021134 3198
437 74.021134 0.021134 4263
438 76.021134 0.021134 4263
439 78.021134 0.021134 4263
440 80.021134 0.021134 4263
441 74.021134 0.021134 4336
442 76.021134 0.021134 4336
443 78.021134 0.021134 4336
444 80.021134 0.021134 4336
445 74.021134 0.021134 3966
446 76.021134 0.021134 3966
447 78.021134 0.021134 3966
448 80.021134 0.021134 3966
449 74.021134 0.021134 3893
450 76.021134 0.021134 3893
451 78.021134 0.021134 3893
452 80.021134 0.021134 3893
453 74.021134 0.021134 5047
454 76.021134 0.021134 5047
455 78.021134 0.021134 5047
456 80.021134 0.021134 5047
457 74.021134 0.021134 5120
458 76.021134 0.021134 5120
459 78.021134 0.021134 5120
460 80.021134 0.021134 5120
461 74.021134 0.021134 5521
462 76.021134 0.021134 5521
463 78.021134 0.021134 5521
464 80.021134 0.021134 5521
465 74.021134 0.021134 5594
466 76.021134 0.021134 5594
467 78.021134 0.021134 5594
468 80.021134 0.021134 5594
469 74.021134 0.021134 6599
