id,run_id,timeStep,corridorRecommended
0,0,936,31
0,0,941,11
0,0,946,21
0,0,951,31
0,0,956,11
0,0,961,21
0,0,966,31
0,0,971,11
0,0,976,21
0,0,981,31
0,0,986,11
0,0,991,21
0,0,996,31
0,0,1001,11
0,0,1006,21
0,0,1011,31
0,0,1016,11
0,0,1021,21
0,0,1026,31
0,0,1031,11
0,0,1036,21
0,0,1041,31
0,0,1046,11
0,0,1051,21
0,0,1056,31
0,0,1061,11
0,0,1066,21
0,0,1071,31
0,0,1076,11
0,0,1081,21
0,0,1086,31
0,0,1091,11
0,0,1096,21
0,0,1101,31
0,0,1106,11
0,0,1111,21
0,0,1116,31
0,0,1121,11
0,0,1126,21
0,0,1131,31
0,0,1136,11
0,0,1141,21
0,0,1146,31
0,0,1151,11
0,0,1156,21
0,0,1161,31
0,0,1166,11
0,0,1171,21
0,0,1176,31
0,0,1181,11
0,0,1186,21
0,0,1191,31
0,0,1196,11
0,0,1201,21
0,0,1206,31
0,0,1211,11
0,0,1216,21
0,0,1221,31
0,0,1226,11
0,0,1231,21
0,0,1236,31
0,0,1241,11
0,0,1246,21
0,0,1251,31
0,0,1256,11
0,0,1261,21
0,0,1266,31
0,0,1271,11
0,0,1276,21
0,0,1281,31
0,0,1286,11
0,0,1291,21
0,0,1296,31
0,0,1301,11
0,0,1306,21
0,0,1311,31
0,0,1316,11
0,0,1321,21
0,0,1326,31
0,0,1331,11
0,0,1336,21
0,0,1341,31
0,0,1346,11
0,0,1351,21
0,0,1356,31
0,0,1361,11
0,0,1366,21
0,0,1371,31
0,0,1376,11
0,0,1381,21
0,0,1386,31
0,0,1391,11
0,0,1396,21
0,0,1401,31
0,0,1406,11
0,0,1411,21
0,0,1416,31
0,0,1421,11
0,0,1426,21
0,0,1431,31
0,0,1436,11
0,0,1441,21
0,0,1446,31
0,0,1451,11
0,0,1456,21
0,0,1461,31
0,0,1466,11
0,0,1471,21
0,0,1476,31
0,0,1481,11
0,0,1486,21
0,0,1491,31
0,0,1496,11
0,0,1501,21
0,0,1506,31
0,0,1511,11
0,0,1516,21
0,0,1521,31
0,0,1526,11
0,0,1531,21
0,0,1536,31
0,0,1541,11
0,0,1546,21
0,0,1551,31
0,0,1556,11
0,0,1561,21
0,0,1566,31
0,0,1571,11
0,0,1576,21
0,0,1581,31
0,0,1586,11
0,0,1591,21
0,0,1596,31
0,0,1601,11
0,0,1606,21
0,0,1611,31
0,0,1616,11
0,0,1621,21
0,0,1626,31
0,0,1631,11
0,0,1636,21
0,0,1641,31
0,0,1646,11
0,0,1651,21
0,0,1656,31
0,0,1661,11
0,0,1666,21
0,0,1671,31
0,0,1676,11
0,0,1681,21
0,0,1686,31
0,0,1691,11
0,0,1696,21
0,0,1701,31
0,0,1706,11
0,0,1711,21
0,0,1716,31
0,0,1721,11
0,0,1726,21
0,0,1731,31
0,0,1736,11
0,0,1741,21
0,0,1746,31
0,0,1751,11
0,0,1756,21
0,0,1761,31
0,0,1766,11
0,0,1771,21
0,0,1776,31
0,0,1781,11
0,0,1786,21
0,0,1791,31
0,0,1796,11
0,0,1801,21
0,0,1806,31
0,0,1811,11
0,0,1816,21
0,0,1821,31
0,0,1826,11
0,0,1831,21
0,0,1836,31
0,0,1841,11
0,0,1846,21
0,0,1851,31
0,0,1856,11
0,0,1861,21
0,0,1866,31
0,0,1871,11
0,0,1876,21
0,0,1881,31
0,0,1886,11
0,0,1891,21
0,0,1896,31
0,0,1901,11
0,0,1906,21
0,0,1911,31
0,0,1916,11
0,0,1921,21
0,0,1926,31
0,0,1931,11
0,0,1936,21
0,0,1941,31
0,0,1946,11
0,0,1951,21
0,0,1956,31
0,0,1961,11
0,0,1966,21
0,0,1971,31
0,0,1976,11
0,0,1981,21
0,0,1986,31
0,0,1991,11
0,0,1996,21
0,0,2001,31
0,0,2006,11
0,0,2011,21
0,0,2016,31
0,0,2021,11
0,0,2026,21
0,0,2031,31
0,0,2036,11
0,0,2041,21
0,0,2046,31
0,0,2051,11
0,0,2056,21
0,0,2061,31
0,0,2066,11
0,0,2071,21
0,0,2076,31
0,0,2081,11
0,0,2086,21
0,0,2091,31
0,0,2096,11
0,0,2101,21
0,0,2106,31
0,0,2111,11
0,0,2116,21
0,0,2121,31
0,0,2126,11
0,0,2131,21
0,0,2136,31
0,0,2141,11
0,0,2146,21
0,0,2151,31
0,0,2156,11
0,0,2161,21
0,0,2166,31
0,0,2171,11
0,0,2176,21
0,0,2181,31
0,0,2186,11
0,0,2191,21
0,0,2196,31
0,0,2201,11
0,0,2206,21
0,0,2211,31
