id,run_id,"('Parameter', 'omnet', '*.traci.launcher.seed')","('Parameter', 'omnet', '*.traci.launcher.useVadereSeed')","('Parameter', 'vadere', 'sources.[id==1].spawner.distribution.updateFrequency')","('Parameter', 'vadere', 'sources.[id==2].spawner.distribution.updateFrequency')","('Parameter', 'vadere', 'sources.[id==5].spawner.distribution.updateFrequency')","('Parameter', 'vadere', 'sources.[id==6].spawner.distribution.updateFrequency')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
84,0,74895,false,9.5502,9.5502,9.5502,9.5502,82.98354148864746,0
85,0,74895,false,9.4912,9.4912,9.4912,9.4912,68.71705174446106,0
86,0,74895,false,9.4329,9.4329,9.4329,9.4329,71.26969718933105,0
87,0,74895,false,9.3753,9.3753,9.3753,9.3753,68.45260000228882,0
88,0,74895,false,9.3184,9.3184,9.3184,9.3184,97.8537962436676,0
89,0,74895,false,9.2622,9.2622,9.2622,9.2622,67.00785255432129,0
90,0,74895,false,9.2066,9.2066,9.2066,9.2066,74.30769872665405,0
91,0,74895,false,9.1518,9.1518,9.1518,9.1518,95.39521527290344,0
92,0,74895,false,9.0975,9.0975,9.0975,9.0975,83.37482190132141,0
93,0,74895,false,9.044,9.044,9.044,9.044,78.67328834533691,0
94,0,74895,false,8.991,8.991,8.991,8.991,79.31540822982788,0
95,0,74895,false,8.9386,8.9386,8.9386,8.9386,71.94198155403137,0
96,0,74895,false,8.8869,8.8869,8.8869,8.8869,86.77584409713745,0
97,0,74895,false,8.8358,8.8358,8.8358,8.8358,78.51096391677856,0
98,0,74895,false,8.7852,8.7852,8.7852,8.7852,72.36650943756104,0
99,0,74895,false,8.7352,8.7352,8.7352,8.7352,73.1071720123291,0
100,0,74895,false,8.6858,8.6858,8.6858,8.6858,77.43080520629883,0
101,0,74895,false,8.637,8.637,8.637,8.637,59.83919930458069,0
102,0,74895,false,8.5886,8.5886,8.5886,8.5886,74.58202862739563,0
103,0,74895,false,8.5409,8.5409,8.5409,8.5409,103.90521264076233,0
104,0,74895,false,8.4936,8.4936,8.4936,8.4936,97.84980392456055,0
105,0,74895,false,8.4469,8.4469,8.4469,8.4469,79.70269703865051,0
106,0,74895,false,8.4007,8.4007,8.4007,8.4007,77.62240505218506,0
107,0,74895,false,8.355,8.355,8.355,8.355,86.26910448074341,0
108,0,74895,false,8.3097,8.3097,8.3097,8.3097,71.73583197593689,0
109,0,74895,false,8.265,8.265,8.265,8.265,80.4028308391571,0
110,0,74895,false,8.2208,8.2208,8.2208,8.2208,75.01789093017578,0
111,0,74895,false,8.177,8.177,8.177,8.177,82.90459680557251,0
112,0,74895,false,8.1337,8.1337,8.1337,8.1337,70.99989128112793,0
113,0,74895,false,8.0908,8.0908,8.0908,8.0908,73.65417718887329,0
114,0,74895,false,8.0484,8.0484,8.0484,8.0484,62.16101050376892,0
115,0,74895,false,8.0064,8.0064,8.0064,8.0064,76.89655828475952,0
116,0,74895,false,7.9649,7.9649,7.9649,7.9649,106.60669827461243,0
117,0,74895,false,7.9238,7.9238,7.9238,7.9238,84.89634799957275,0
118,0,74895,false,7.8831,7.8831,7.8831,7.8831,89.50485682487488,0
119,0,74895,false,7.8428,7.8428,7.8428,7.8428,74.49775958061218,0
120,0,74895,false,7.803,7.803,7.803,7.803,84.07754611968994,0
121,0,74895,false,7.7635,7.7635,7.7635,7.7635,69.83883237838745,0
122,0,74895,false,7.7245,7.7245,7.7245,7.7245,82.31950831413269,0
123,0,74895,false,7.6858,7.6858,7.6858,7.6858,85.69699120521545,0
124,0,74895,false,7.6475,7.6475,7.6475,7.6475,80.05021667480469,0
125,0,74895,false,7.6096,7.6096,7.6096,7.6096,71.92873501777649,0
126,0,74895,false,7.5721,7.5721,7.5721,7.5721,70.87192845344543,0
127,0,74895,false,7.5349,7.5349,7.5349,7.5349,65.52741289138794,0
128,0,74895,false,7.4981,7.4981,7.4981,7.4981,78.72792840003967,0
129,0,74895,false,7.4617,7.4617,7.4617,7.4617,103.15356397628784,0
130,0,74895,false,7.4256,7.4256,7.4256,7.4256,101.01811170578003,0
131,0,74895,false,7.3899,7.3899,7.3899,7.3899,72.32085275650024,0
132,0,74895,false,7.3545,7.3545,7.3545,7.3545,102.54638886451721,0
133,0,74895,false,7.3194,7.3194,7.3194,7.3194,63.34523391723633,0
134,0,74895,false,7.2847,7.2847,7.2847,7.2847,62.1038281917572,0
135,0,74895,false,7.2503,7.2503,7.2503,7.2503,68.041419506073,0
136,0,74895,false,7.2162,7.2162,7.2162,7.2162,63.87587118148804,0
137,0,74895,false,7.1824,7.1824,7.1824,7.1824,90.64436888694763,0
138,0,74895,false,7.149,7.149,7.149,7.149,87.47240114212036,0
139,0,74895,false,7.1159,7.1159,7.1159,7.1159,94.35523176193237,0
140,0,74895,false,7.083,7.083,7.083,7.083,69.769122838974,0
141,0,74895,false,7.0505,7.0505,7.0505,7.0505,76.84521651268005,0
142,0,74895,false,7.0183,7.0183,7.0183,7.0183,100.36330342292786,0
143,0,74895,false,6.9863,6.9863,6.9863,6.9863,79.4256763458252,0
144,0,74895,false,6.9547,6.9547,6.9547,6.9547,103.41023826599121,0
145,0,74895,false,6.9233,6.9233,6.9233,6.9233,59.8855836391449,0
146,0,74895,false,6.8923,6.8923,6.8923,6.8923,89.2587194442749,0
147,0,74895,false,6.8615,6.8615,6.8615,6.8615,87.35038614273071,0
148,0,74895,false,6.8309,6.8309,6.8309,6.8309,89.81827735900879,0
149,0,74895,false,6.8007,6.8007,6.8007,6.8007,86.95719003677368,0
150,0,74895,false,6.7707,6.7707,6.7707,6.7707,87.52125144004822,0
151,0,74895,false,6.741,6.741,6.741,6.741,96.28770899772644,0
152,0,74895,false,6.7115,6.7115,6.7115,6.7115,95.68670392036438,0
153,0,74895,false,6.6823,6.6823,6.6823,6.6823,75.65336990356445,0
154,0,74895,false,6.6533,6.6533,6.6533,6.6533,98.81446075439453,0
155,0,74895,false,6.6246,6.6246,6.6246,6.6246,101.09737277030945,0
156,0,74895,false,6.5962,6.5962,6.5962,6.5962,76.64932751655579,0
157,0,74895,false,6.5679,6.5679,6.5679,6.5679,80.75469160079956,0
158,0,74895,false,6.54,6.54,6.54,6.54,101.0823130607605,0
159,0,74895,false,6.5122,6.5122,6.5122,6.5122,98.46858310699463,0
160,0,74895,false,6.4847,6.4847,6.4847,6.4847,88.93164110183716,0
161,0,74895,false,6.4575,6.4575,6.4575,6.4575,91.35441398620605,0
162,0,74895,false,6.4304,6.4304,6.4304,6.4304,94.14074921607971,0
163,0,74895,false,6.4036,6.4036,6.4036,6.4036,61.71771693229675,0
164,0,74895,false,6.377,6.377,6.377,6.377,59.00077676773071,0
165,0,74895,false,6.3506,6.3506,6.3506,6.3506,65.25763630867004,0
166,0,74895,false,6.3245,6.3245,6.3245,6.3245,64.05399370193481,0
167,0,74895,false,6.2985,6.2985,6.2985,6.2985,70.81813144683838,0
168,0,74895,false,6.2728,6.2728,6.2728,6.2728,102.22562003135681,0
169,0,74895,false,6.2473,6.2473,6.2473,6.2473,70.94261312484741,0
170,0,74895,false,6.2219,6.2219,6.2219,6.2219,82.9963972568512,0
171,0,74895,false,6.1968,6.1968,6.1968,6.1968,101.0314109325409,0
172,0,74895,false,6.1719,6.1719,6.1719,6.1719,95.72002696990967,0
173,0,74895,false,6.1472,6.1472,6.1472,6.1472,91.6804039478302,0
174,0,74895,false,6.1227,6.1227,6.1227,6.1227,91.04287433624268,0
175,0,74895,false,6.0984,6.0984,6.0984,6.0984,58.64611554145813,0
176,0,74895,false,6.0743,6.0743,6.0743,6.0743,97.8936562538147,0
177,0,74895,false,6.0503,6.0503,6.0503,6.0503,76.91477608680725,0
178,0,74895,false,6.0266,6.0266,6.0266,6.0266,105.08917188644409,0
179,0,74895,false,6.003,6.003,6.003,6.003,72.12039494514465,0
180,0,74895,false,5.9796,5.9796,5.9796,5.9796,101.98151302337646,0
181,0,74895,false,5.9564,5.9564,5.9564,5.9564,95.97704744338989,0
182,0,74895,false,5.9334,5.9334,5.9334,5.9334,68.67438840866089,0
183,0,74895,false,5.9106,5.9106,5.9106,5.9106,87.72610759735107,0
184,0,74895,false,5.8879,5.8879,5.8879,5.8879,100.31670475006104,0
185,0,74895,false,5.8654,5.8654,5.8654,5.8654,62.65574860572815,0
186,0,74895,false,5.8431,5.8431,5.8431,5.8431,64.70455574989319,0
187,0,74895,false,5.8209,5.8209,5.8209,5.8209,66.05267572402954,0
188,0,74895,false,5.799,5.799,5.799,5.799,69.20595693588257,0
189,0,74895,false,5.7771,5.7771,5.7771,5.7771,98.11713910102844,0
190,0,74895,false,5.7555,5.7555,5.7555,5.7555,97.35805296897888,0
191,0,74895,false,5.734,5.734,5.734,5.734,64.89361548423767,0
192,0,74895,false,5.7127,5.7127,5.7127,5.7127,61.19156241416931,0
193,0,74895,false,5.6915,5.6915,5.6915,5.6915,105.42216110229492,0
194,0,74895,false,5.6705,5.6705,5.6705,5.6705,74.79897618293762,0
195,0,74895,false,5.6496,5.6496,5.6496,5.6496,92.48327445983887,0
196,0,74895,false,5.6289,5.6289,5.6289,5.6289,102.78443789482117,0
197,0,74895,false,5.6083,5.6083,5.6083,5.6083,96.66245651245117,0
198,0,74895,false,5.5879,5.5879,5.5879,5.5879,104.48417806625366,0
199,0,74895,false,5.5676,5.5676,5.5676,5.5676,73.14129638671875,0
200,0,74895,false,5.5475,5.5475,5.5475,5.5475,91.04776239395142,0
201,0,74895,false,5.5276,5.5276,5.5276,5.5276,98.81932401657104,0
202,0,74895,false,5.5077,5.5077,5.5077,5.5077,101.86471033096313,0
203,0,74895,false,5.488,5.488,5.488,5.488,69.16061544418335,0
204,0,74895,false,5.4685,5.4685,5.4685,5.4685,74.73012113571167,0
205,0,74895,false,5.4491,5.4491,5.4491,5.4491,71.92604494094849,0
206,0,74895,false,5.4298,5.4298,5.4298,5.4298,102.56067562103271,0
207,0,74895,false,5.4107,5.4107,5.4107,5.4107,108.42347478866577,0
208,0,74895,false,5.3917,5.3917,5.3917,5.3917,108.28821063041687,0
209,0,74895,false,5.3728,5.3728,5.3728,5.3728,58.531834840774536,0
